微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HuKdQ7Vv3,Kesque 的索引大致是 4 Bytes Hashed Key + 4 Bytes Data Offset，若简单地将这个索引交给一个 BTree 的 kv db，所需的缓存内存仍然是非常大。只是，现在我的实现，每 1 亿记录也要 1G 的内存来保存索引。当这个记录数大到 10 亿时怎么办呢？我可以妥协一些性能来换取小点的内存，但需要保持近 O(1)。  ,无,无,2019-05-18 12:25,微博 weibo.com,5,4,0
HuK8avXxo,为性能，BTree 索引的内节点最好都缓存在内存里。那么需要多少内存来装载这些内节点呢？以 Berkeley DB 为例，对于 3 亿条数据，4 Bytes 的 Key，这个数量是 7G，如果连同页节点（4 Bytes 的 Data），这个数量是 9 G。Kesque 的索引 (4 Bytes Key + 4 Bytes Data）则是 3G 左右，但代码写得我很头疼。  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g35c1w4jh3j20kp07kgm5.jpg,无,2019-05-18 12:11,微博 weibo.com,18,11,4
HuAvxiTRT,我好像想到了一个更好的保存以太坊状态数据的存储引擎？可以让 Khipu 的内存占用大大降下来。  ,无,无,2019-05-17 11:41,iPhone客户端,15,1,0
Hurz5xfmD,一栋新的船屋正在驶往维多利亚的渔人码头（图一）。另一栋正在出售的船屋报价是 54.9 万加币（图二到图九）。  [组图共9张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fly1g332g8txeaj20yo0q9wib.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g332gcpbjjj20sg0iygoe.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go1zi6j20sg0iy0ue.jpg,http://ww1.sinaimg.cn/large/6fc85a2fly1g332gnzu8tj20sg0iytar.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go8njvj20sg0iywge.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go5kzzj20sg0iywh1.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go57wij20sg0iyq5e.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g332go1c3wj20sg0iydi3.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g332gon85xj20sg0iymzl.jpg",无,2019-05-16 12:55,微博 weibo.com,11,3,12
HunnSBbnT,目前的“全球化”是一个幌子，它只能提供资本和商品自由流动的框架，而最重要的要素-人-则不能。因此与人捆绑的法律、人权及环境差异就永远不能驱平，而这就成为了一个无法提升或抑制的竞争要素。现在发生的一切是对此的反正。全球性的 WTO，其立足点并不成立，同一性区域内的贸易自由会更加得以确立。  ,无,无,2019-05-16 02:17,iPhone客户端,26,23,3
HugknE9eO,"霸道 - Dallas Road, Victoria, BC (拍摄 Joanne Green)  原图 ",http://wx4.sinaimg.cn/large/6fc85a2fly1g31ous8ihvj21400u0ayl.jpg,无,2019-05-15 08:19,微博 weibo.com,1,0,1
Hu5ip0jrd,很多年前参与大学辩论赛时就深深体会到，口号比逻辑对听众更重要。好在那时的评委还懂得并站在逻辑的一边。  ,无,无,2019-05-14 04:14,iPhone客户端,12,11,0
HtYEQ6Dzu,随着数据量越来越大，以太坊节点在为其它节点提供同步数据做查询所需的时间也越来越长。以前在做 fast sync 时，每次可以请求 200 个 receipts，现在可能只能有 50 个。这个值通常在配置里设置，看来今后要改成根据请求返回成功与否（比如是否超时）动态调整了。不过我希望 khipu 查询时间能保持常数。  ,无,无,2019-05-13 11:20,微博 weibo.com,2,8,0
HtPoIuyyi,这些天比特币大涨没准跟川普有关，谁知道呢。  ,无,无,2019-05-12 11:45,iPhone客户端,5,1,2
HtunHffos,加拿大官网上 Moto Z3 Play + 投影模块的价格到了 $499 (加税后 $559，约人民币 2800)。正好在想着怎么弄手机直接投影，就下了单。再买个哈苏镜头模块，没准会重燃对日常摄影的兴趣 —— 自从我的 Nokia 808 Pureview 退休后（蔡司镜头 + 4100 万像素 1/1.2 英寸 CMOS），就对手机摄影没多大兴趣了。  ,无,无,2019-05-10 06:15,微博 weibo.com,2,3,1
Htt2ceKPK,上月一带一路峰会期间在北京打滴滴，路上导航执着地要我们走东二环，因为路况显示东二环不同寻常地一路畅通。等靠近东二环，才明白过来，此段_交通管制_。我们被挡了半小时才得以继续往前走。  ,无,无,2019-05-10 02:49,iPhone客户端,6,1,2
HtlF9pbx6,Hockey boy 邓草原的秒拍视频  ,无,无,2019-05-09 08:03,iPhone客户端,10,0,0
HtiXxAIBF,在北京，若你于 5 月 6 日至 5 月 19 日期间步入北京地铁 10 号线，_或许_也会进入一个小型展览空间——14张巨幅插画结合各自主题铺满整间列车，叙述着14家优质内容制造者的故事。 这次，艺术展览的入场券是一张地铁票  ,无,无,2019-05-09 01:10,iPhone客户端,1,1,0
HtahYcgWg,离开一个月草长得好高，用了一个半小时才割完。看来我也从每次的呆京后遗症（回来后会干咳+腹泻一周）恢复过来啦。应该喝点啤酒。  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g2tch7wqjvj22io1w01kz.jpg,无,2019-05-08 03:06,iPhone客户端,13,0,2
Ht3SmoYxp,整理完毕的老背包  原图 ,http://wx2.sinaimg.cn/large/6fc85a2fly1g2sk5clqkuj20u0140kjl.jpg,无,2019-05-07 10:46,微博 weibo.com,11,0,2
Ht2Bopymt,有辆地铁十号线 5.6 - 5.19 北京  [组图共9张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fly1g2sej6zoztj20ty1buq9z.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g2sej87rmjj20ty1butfl.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g2sej9uvtpj20ty1butf8.jpg,http://ww1.sinaimg.cn/large/6fc85a2fly1g2sejc3xutj20ty1bu45u.jpg,http://ww1.sinaimg.cn/large/6fc85a2fly1g2sejesmtaj20ty1budqg.jpg,http://ww3.sinaimg.cn/large/6fc85a2fly1g2sejgcvl3j20ty1budnc.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g2sejj00vnj20ty1bujyz.jpg,http://ww2.sinaimg.cn/large/6fc85a2fly1g2sejka3cuj20ty1budmj.jpg,http://ww4.sinaimg.cn/large/6fc85a2fly1g2sejlmhh9j20u01bwahc.jpg",无,2019-05-07 07:32,iPhone客户端,4,0,1
HsYETmeNT,一条好的区块链，相当于成千上万个分布在世界各地、愿意一起随时依照某项规则去做些事情的节点。可以做的当然不应该只是转转帐。  ,无,无,2019-05-06 21:29,iPhone客户端,23,7,5
